gene_id,Satrom-mRNA-24hC_ACAGTG_L001_001
1700003D09Rik,0
1700003E16Rik,10
1700003E24Rik,0
1700003F12Rik,6
1700003G13Rik,0
1700003G18Rik,4
1700003H04Rik,0
1700003I22Rik,0
1700003L19Rik,0
1700003M02Rik,0
1700003M07Rik,1
1700003O11Rik,0
1700003P14Rik,0
1700006A11Rik,0
1700006E09Rik,0
1700006F04Rik,0
1700006H20Rik,0
1700006H21Rik,0
1700007B14Rik,0
1700007E05Rik,0
1700007F19Rik,0
1700007G11Rik,0
1700007J10Rik,0
1700007K09Rik,6
1700007K13Rik,0
1700007L15Rik,211
1700007P06Rik,0
1700008C04Rik,0
1700008F21Rik,2
1700008I05Rik,2
1700008J07Rik,55
1700008K24Rik,0
1700008O03Rik,22
1700008P02Rik,0
1700009C05Rik,0
1700009J07Rik,0
1700009N14Rik,0
1700010B08Rik,0
1700010D01Rik,0
1700010H22Rik,4
1700010I02Rik,0
1700010I14Rik,12
1700010J16Rik,0
1700010K23Rik,0
1700010L04Rik,0
1700010N08Rik,0
1700011A15Rik,0
1700011B04Rik,4
1700011C11Rik,0
1700011E24Rik,3
1700011H14Rik,8
1700011I03Rik,0
1700011L22Rik,0
1700011M02Rik,0
1700012A03Rik,0
1700012B07Rik,2
1700012B09Rik,0
1700012C14Rik,2
1700012D01Rik,9
1700012D14Rik,20
1700012D16Rik,0
1700012H19Rik,0
1700012I11Rik,0
1700012J15Rik,0
1700012L04Rik,0
1700012P22Rik,0
1700013D24Rik,0
1700013F07Rik,2
1700013G24Rik,0
1700013H16Rik,0
1700013N06Rik,0
1700015C15Rik,0
1700015E13Rik,0
1700015F17Rik,0
1700015G11Rik,0
1700016B01Rik,0
1700016C15Rik,2
1700016C19Rik,0
1700016D06Rik,0
1700016G14Rik,17
1700016G22Rik,2
1700016H13Rik,0
1700016J18Rik,1
1700016K19Rik,4
1700016L04Rik,2
1700016L21Rik,0
1700016P04Rik,0
1700017B05Rik,3992
1700017D01Rik,0
1700017G19Rik,0
1700017J07Rik,0
1700017L05Rik,0
1700017M07Rik,1
1700017N19Rik,0
1700018A04Rik,0
1700018A23Rik,0
1700018B08Rik,0
1700018B24Rik,0
1700018C11Rik,0
1700018F24Rik,0
1700018G05Rik,0
1700018L02Rik,0
1700019A02Rik,7
1700019B03Rik,0
1700019B21Rik,2
1700019C18Rik,0
1700019D03Rik,459
1700019E08Rik,0
1700019F05Rik,0
1700019G17Rik,24
1700019G24Rik,0
1700019J19Rik,4
1700019L03Rik,33
1700019L22Rik,0
1700019M22Rik,0
1700019N19Rik,2
1700019O17Rik,0
1700019P21Rik,0
1700020A23Rik,9
1700020D05Rik,13
1700020D12Rik,0
1700020D14Rik,0
1700020G17Rik,0
1700020I14Rik,2699
1700020L24Rik,0
1700020M21Rik,0
1700020N01Rik,0
1700020N15Rik,0
1700020N18Rik,0
1700021F02Rik,0
1700021F05Rik,1275
1700021F07Rik,0
1700021G15Rik,0
1700021K19Rik,2035
1700021L23Rik,0
1700021N21Rik,2
1700022A21Rik,0
1700022A22Rik,0
1700022E09Rik,0
1700022H01Rik,1
1700022H16Rik,0
1700022I11Rik,9
1700022N22Rik,53
1700023C21Rik,0
1700023E05Rik,0
1700023F02Rik,0
1700023F06Rik,0
1700023G09Rik,1
1700023L04Rik,1
1700024B05Rik,0
1700024B18Rik,0
1700024F13Rik,42
1700024G13Rik,0
1700024I08Rik,0
1700024N05Rik,0
1700024P04Rik,0
1700024P16Rik,0
1700025B11Rik,0
1700025C18Rik,0
1700025D23Rik,0
1700025F22Rik,0
1700025F24Rik,0
1700025G04Rik,42
1700025J12Rik,0
1700025K24Rik,0
1700025M24Rik,0
1700025N23Rik,0
1700026D08Rik,2
1700026D11Rik,0
1700026F02Rik,0
1700026J12Rik,2
1700026J14Rik,0
1700026L06Rik,98
1700027A15Rik,0
1700027F06Rik,0
1700027F09Rik,0
1700027H10Rik,0
1700027I24Rik,2
1700027J07Rik,422
1700028B04Rik,0
1700028D13Rik,0
1700028E10Rik,19
1700028I16Rik,2
1700028J19Rik,29
1700028K03Rik,65
1700028M03Rik,0
1700028P14Rik,0
1700028P15Rik,0
1700029B22Rik,0
1700029F12Rik,0
1700029H14Rik,0
1700029I15Rik,17
1700029J03Rik,0
1700029J07Rik,46
1700029M03Rik,0
1700029M20Rik,41
1700029N11Rik,8
1700029P11Rik,0
1700030A11Rik,0
1700030C10Rik,0
1700030C14Rik,0
1700030E10Rik,0
1700030F04Rik,0
1700030F18Rik,5
1700030J22Rik,6
1700030K09Rik,637
1700030L20Rik,0
1700030L22Rik,0
1700030M09Rik,0
1700030N03Rik,0
1700030O20Rik,4
1700031A10Rik,0
1700031F05Rik,0
1700031L13Rik,0
1700031M16Rik,0
1700031P21Rik,0
1700034B16Rik,0
1700034E13Rik,0
1700034G24Rik,0
1700034H15Rik,34
1700034I23Rik,0
1700034J05Rik,0
1700034K08Rik,0
1700034O15Rik,0
1700034P13Rik,25
1700036G14Rik,0
1700037C18Rik,272
1700037H04Rik,1956
1700039E15Rik,0
1700039E22Rik,0
1700039I01Rik,0
1700039M10Rik,8
1700040D17Rik,0
1700040F15Rik,0
1700040L02Rik,52
1700041A01Rik,1
1700041B01Rik,0
1700041C23Rik,0
1700041M19Rik,0
1700042B14Rik,0
1700042G07Rik,0
1700042G15Rik,0
1700042O10Rik,2
1700044C05Rik,0
1700044K03Rik,0
1700045H11Rik,0
1700046C09Rik,0
1700047A11Rik,0
1700047E10Rik,5
1700047G03Rik,0
1700047I17Rik2,4
1700047L14Rik,0
1700047M11Rik,0
1700048B10Rik,0
1700048F04Rik,0
1700048M11Rik,3
1700048O14Rik,0
1700048O20Rik,1081
1700049E15Rik,0
1700049E17Rik1,0
1700049E17Rik2,0
1700049E22Rik,0
1700049G17Rik,90
1700049J03Rik,4
1700049L16Rik,0
1700051A21Rik,0
1700052H01Rik,0
1700052I22Rik,0
1700052K11Rik,44
1700052N19Rik,1668
1700054A03Rik,0
1700054K19Rik,0
1700054M17Rik,10
1700054O19Rik,0
1700055C04Rik,0
1700055D18Rik,24
1700055N04Rik,7
1700056E22Rik,17
1700057G04Rik,0
1700057H15Rik,0
1700057H21Rik,0
1700058M13Rik,2
1700060C16Rik,0
1700060C20Rik,0
1700060L04Rik,0
1700060O08Rik,0
1700061F12Rik,0
1700061G19Rik,43
1700061I17Rik,0
1700061J23Rik,0
1700062C10Rik,0
1700063A18Rik,0
1700063D05Rik,2
1700063H04Rik,0
1700063O14Rik,0
1700064F23Rik,0
1700064J06Rik,0
1700064M15Rik,0
1700065D16Rik,17
1700065I16Rik,0
1700065J11Rik,0
1700065J18Rik,0
1700065L07Rik,0
1700065O20Rik,0
1700066B17Rik,0
1700066B19Rik,27
1700066C05Rik,0
1700066J03Rik,0
1700066M21Rik,610
1700066N21Rik,0
1700066O22Rik,0
1700067G17Rik,0
1700067K01Rik,47
1700067P10Rik,0
1700069L16Rik,0
1700069P05Rik,0
1700071G01Rik,0
1700071K01Rik,0
1700071M16Rik,0
1700072B07Rik,0
1700072I22Rik,0
1700072O05Rik,0
1700073E17Rik,0
1700074H08Rik,0
1700074P13Rik,0
1700080E11Rik,0
1700080G11Rik,4
1700080G18Rik,3
1700080N15Rik,0
1700080O16Rik,0
1700081B01Rik,0
1700081H04Rik,0
1700083H02Rik,0
1700084C01Rik,2
1700084D21Rik,0
1700084E18Rik,4
1700084F23Rik,0
1700084J12Rik,0
1700084M14Rik,0
1700085C21Rik,0
1700086D15Rik,0
1700086L19Rik,0
1700086O06Rik,276
1700086P04Rik,3
1700087I21Rik,11
1700087M22Rik,0
1700088E04Rik,0
1700091H14Rik,0
1700092C02Rik,0
1700092C10Rik,0
1700092E19Rik,0
1700092K14Rik,0
1700092M07Rik,25
1700093K21Rik,1
1700094D03Rik,114
1700094J05Rik,0
1700094M23Rik,0
1700094M24Rik,0
1700095A13Rik,0
1700095A21Rik,0
1700095B10Rik,0
1700095J12Rik,2
1700096J18Rik,13
1700096K18Rik,25
1700096P03Rik,4
1700097N02Rik,0
1700099I09Rik,48
1700100I10Rik,0
1700100L14Rik,0
1700101E01Rik,28
1700101G07Rik,0
1700101I11Rik,8
1700101O22Rik,0
1700102H20Rik,22
1700102J08Rik,0
1700102P08Rik,9
1700104L18Rik,0
1700105P06Rik,0
1700106J16Rik,0
1700108F19Rik,0
1700108J01Rik,1
1700108N06Rik,0
1700109G14Rik,0
1700109G15Rik,0
1700109H08Rik,98
1700109I08Rik,0
1700109K24Rik,0
1700110C19Rik,0
1700110I01Rik,0
1700110I07Rik,0
1700110K17Rik,0
1700111N16Rik,0
1700112D23Rik,0
1700112E06Rik,0
1700112H04Rik,0
1700112H15Rik,4
1700112J05Rik,1
1700112J16Rik,0
1700112K13Rik,0
1700112N08Rik,2
1700113A16Rik,9
1700113B09Rik,0
1700113H08Rik,0
1700116B05Rik,0
1700116H05Rik,0
1700119H24Rik,0
1700120C14Rik,9
1700120E14Rik,0
1700120G07Rik,0
1700120K04Rik,30
1700121L16Rik,0
1700121N20Rik,0
1700122C19Rik,0
1700122E12Rik,31
1700122H20Rik,0
1700122O11Rik,0
1700123I01Rik,1
1700123J17Rik,0
1700123K08Rik,0
1700123L14Rik,0
1700123M08Rik,62
1700123O12Rik,0
1700123O20Rik,2109
1700123O21Rik,0
1700124L16Rik,4
1700124M09Rik,0
1700125G02Rik,0
1700125G22Rik,0
1700125H03Rik,3
1700125H20Rik,2
1700126H18Rik,0
1700128A07Rik,0
1700128E19Rik,0
1700128F08Rik,0
1700129C05Rik,0
1810006J02Rik,0
1810007C17Rik,0
1810007D17Rik,1
1810008I18Rik,0
1810009A15Rik,13
1810009J06Rik,0
1810010D01Rik,0
1810010H24Rik,10
1810010K12Rik,0
1810011H11Rik,16
1810011O10Rik,0
1810012K08Rik,22
1810012K16Rik,6
1810013A23Rik,0
1810013D15Rik,1
1810013L24Rik,2977
1810014B01Rik,463
1810018F18Rik,0
1810019D21Rik,4
1810019N24Rik,0
1810020O05Rik,0
1810021B22Rik,15
1810022K09Rik,804
1810024B03Rik,36
1810026B05Rik,503
1810026J23Rik,3400
1810030O07Rik,2425
1810032O08Rik,1270
1810034E14Rik,29
1810035K13Rik,0
1810037I17Rik,775
1810041H14Rik,21
1810041L15Rik,0
1810043G02Rik,172
1810043H04Rik,522
1810044D09Rik,171
1810046K07Rik,22802
1810049I09Rik,0
1810053B23Rik,1
1810055G02Rik,667
1810058I24Rik,1157
1810062G17Rik,47
1810062O18Rik,13
1810063I02Rik,0
1810064F22Rik,0
1810065E05Rik,0
1810073O08Rik,2
2010001A14Rik,62
2010001E11Rik,0
2010001M07Rik,0
2010002M12Rik,0
2010003K11Rik,0
2010005H15Rik,8
2010009K17Rik,3
2010010A06Rik,0
2010012O05Rik,447
2010016I18Rik,5
2010106C02Rik,0
2010106E10Rik,0
2010107E04Rik,2850
2010107G12Rik,13
2010107G23Rik,1
2010109A12Rik,30
2010109I03Rik,71
2010110K18Rik,71
2010111I01Rik,377
2010203P06Rik,0
2010204K13Rik,437
2010300C02Rik,15
2010300F17Rik,0
2010308F09Rik,1
2010310C07Rik,0
2010315B03Rik,0
2010320M18Rik,156
2010320O07Rik,0
2200002D01Rik,8
2200002J24Rik,59
2210008F06Rik,6
2210010C04Rik,0
2210011C24Rik,0
2210011K15Rik,0
2210013O21Rik,0
2210015D19Rik,471
2210016F16Rik,6
2210016L21Rik,1745
2210018M11Rik,2901
2210019I11Rik,0
2210039B01Rik,0
2210404E10Rik,2
2210404O09Rik,0
2210406O10Rik,28
2210407C18Rik,0
2210408F21Rik,41
2210408I21Rik,667
2210409D07Rik,0
2210409E12Rik,0
2210414B05Rik,4
2210416O15Rik,0
2210417A02Rik,70
2210420H20Rik,0
2300002M23Rik,0
2300003K06Rik,0
2300005B03Rik,1
2300009A05Rik,190
2310001H17Rik,164
2310001K24Rik,0
2310002D06Rik,0
2310002F09Rik,0
2310002L09Rik,0
2310003H01Rik,835
2310003N18Rik,7
2310005A03Rik,0
2310005E17Rik,0
2310007B03Rik,2
2310007L24Rik,5
2310008N11Rik,0
2310009A05Rik,151
2310009B15Rik,120
2310010J17Rik,20
2310011J03Rik,1619
2310014F06Rik,0
2310014L17Rik,220
2310015A10Rik,577
2310015A16Rik,0
2310015B20Rik,0
2310015D24Rik,0
2310015K22Rik,0
2310016D03Rik,0
2310016D23Rik,2
2310016G11Rik,0
2310020H05Rik,0
2310022A10Rik,2040
2310022B05Rik,1227
2310026I22Rik,6
2310030A07Rik,1
2310030G06Rik,0
2310033P09Rik,828
2310034C09Rik,0
2310034G01Rik,31
2310034O05Rik,0
2310034P14Rik,5
2310035C23Rik,2334
2310036O22Rik,3214
2310039H08Rik,226
2310039L15Rik,2
2310040G24Rik,2
2310043L19Rik,0
2310043O21Rik,0
2310045N01Rik,820
2310047D07Rik,4
2310047M10Rik,186
2310050C09Rik,0
2310057J18Rik,0
2310057M21Rik,1070
2310057N15Rik,0
2310061I04Rik,289
2310061J03Rik,2
2310061N02Rik,0
2310065F04Rik,0
2310067B10Rik,1325
2310067E19Rik,0
2310068J16Rik,4
2310069B03Rik,0
2310069G16Rik,0
2310075C17Rik,0
2310075K07Rik,72
2310079G19Rik,1
2310081J21Rik,0
2400006E01Rik,0
2410002F23Rik,3514
2410003L11Rik,0
2410004B18Rik,2241
2410004I01Rik,1
2410004N09Rik,644
2410004P03Rik,0
2410006H16Rik,2301
2410007B07Rik,0
2410012E07Rik,19
2410012M07Rik,0
2410015M20Rik,2069
2410016O06Rik,521
2410017I17Rik,0
2410018L13Rik,0
2410019O14Rik,295
2410021H03Rik,0
2410022M11Rik,52
2410088K16Rik,2
2410089E03Rik,1748
2410114N07Rik,0
2410124H12Rik,0
2410127L17Rik,1056
2410131K14Rik,903
2410137M14Rik,0
2410141K09Rik,0
2500002B13Rik,108
2500004C02Rik,229
2510002D24Rik,0
2510003B16Rik,8
2510003E04Rik,1495
2510009E07Rik,6
2510039O18Rik,694
2610001J05Rik,1756
2610002J02Rik,576
2610002M06Rik,1379
2610005L07Rik,368
2610008E11Rik,380
2610015P09Rik,530
2610016A17Rik,0
2610020C07Rik,160
2610020H08Rik,387
2610027F03Rik,0
2610027K06Rik,0
2610028E06Rik,0
2610028H24Rik,0
2610034B18Rik,5
2610035D17Rik,223
2610035F20Rik,13
2610036A22Rik,617
2610037D02Rik,278
2610042L04Rik,0
2610044O15Rik8,317
2610100L16Rik,0
2610203C20Rik,0
2610203C22Rik,1
2610206C17Rik,13
2610300M13Rik,0
2610301B20Rik,1152
2610305D13Rik,234
2610306M01Rik,109
2610307P16Rik,0
2610316D01Rik,0
2610318N02Rik,1042
2610507B11Rik,16891
2610507I01Rik,604
2610524H06Rik,736
2610528A11Rik,0
2610528J11Rik,0
2700012I20Rik,24
2700029M09Rik,5155
2700038G22Rik,1083
2700046A07Rik,0
2700046G09Rik,16
2700049A03Rik,1475
2700054A10Rik,9
2700060E02Rik,5738
2700062C07Rik,1094
2700068H02Rik,4
2700069I18Rik,0
2700070H01Rik,0
2700081O15Rik,1421
2700089E24Rik,2411
2700089I24Rik,0
2700094K13Rik,4742
2700097O09Rik,434
2700099C18Rik,418
2810001G20Rik,240
2810002D19Rik,237
2810004N23Rik,3762
2810006K23Rik,558
2810007J24Rik,0
2810008D09Rik,371
2810013P06Rik,257
2810021J22Rik,404
2810025M15Rik,2697
2810029C07Rik,64
2810030D12Rik,0
2810032G03Rik,0
2810039B14Rik,25
2810047C21Rik1,0
2810049E08Rik,0
2810403A07Rik,3378
2810403D21Rik,103
2810404M03Rik,0
2810405F15Rik,0
2810407A14Rik,0
2810408A11Rik,0
2810408B13Rik,3
2810408I11Rik,256
2810408M09Rik,641
2810410L24Rik,0
2810416G20Rik,153
2810417H13Rik,12027
2810428I15Rik,691
2810429I04Rik,438
2810433D01Rik,0
2810442N19Rik,5
2810454H06Rik,0
2810459M11Rik,0
2810468N07Rik,0
2810471M01Rik,0
2810474O19Rik,0
2900005J15Rik,27
2900008C10Rik,15
2900009J06Rik,1
2900011O08Rik,0
2900026A02Rik,896
2900040C04Rik,0
2900041M22Rik,9
2900052N01Rik,0
2900055J20Rik,0
2900057B20Rik,0
2900060B14Rik,16
2900076A07Rik,137
2900079G21Rik,0
2900089D17Rik,339
2900092C05Rik,0
2900092D14Rik,0
2900097C17Rik,7220
3000002C10Rik,213
3010001F23Rik,0
3010003L21Rik,2
3010026O09Rik,473
3010033K07Rik,0
3100003L05Rik,0
3110001I22Rik,503
3110002H16Rik,1053
3110007F17Rik,5
3110009E18Rik,80
3110009F21Rik,0
3110009M11Rik,2
3110015C05Rik,0
3110021A11Rik,0
3110021N24Rik,0
3110035E14Rik,0
3110039I08Rik,0
3110039M20Rik,0
3110040M04Rik,0
3110040N11Rik,872
3110043O21Rik,524
3110045C21Rik,124
3110052M02Rik,125
3110053B16Rik,0
3110056K07Rik,220
3110057O12Rik,274
3110062M04Rik,156
3110070M22Rik,18
3110079O15Rik,1
3110082I17Rik,2737
3110082J24Rik,0
3110099E03Rik,0
3200001D21Rik,1
3300002A11Rik,2
3300002I08Rik,121
3300002P13Rik,0
3300005D01Rik,98
3425401B19Rik,1780
3632451O06Rik,0
3632454L22Rik,9
3830403N18Rik,2624
3830406C13Rik,551
3830408C21Rik,24
3830417A13Rik,0
3830432H09Rik,4
3930402G23Rik,0
4430402I18Rik,3
4631405J19Rik,2
4631405K08Rik,0
4632404H12Rik,125
4632415L05Rik,609
4632427E13Rik,32
4632428C04Rik,0
4632428N05Rik,502
4732414G09Rik,0
4732416N19Rik,0
4732419C18Rik,56
4732440D04Rik,71
4732456N10Rik,0
4732465J04Rik,0
4732471J01Rik,23
4732490B19Rik,0
4732491K20Rik,50
4831407H17Rik,5
4831440D22Rik,2
4831440E17Rik,24
4833403I15Rik,0
4833411C07Rik,0
4833412C05Rik,0
4833415N18Rik,0
4833417C18Rik,114
4833418N02Rik,9
4833419F23Rik,37
4833420G17Rik,1860
4833422C13Rik,1
4833422M21Rik,2
4833423E24Rik,0
4833427F10Rik,0
4833427G06Rik,0
4833428L15Rik,0
4833438C02Rik,46
4833439L19Rik,2859
4833447I15Rik,55
4833447P13Rik,40
4921501E09Rik,0
4921504A21Rik,0
4921504E06Rik,0
4921506M07Rik,0
4921507G05Rik,0
4921507L20Rik,33
4921507P07Rik,0
4921508D12Rik,0
4921509C19Rik,0
4921509O07Rik,1
4921511C10Rik,3
4921511C20Rik,0
4921511H03Rik,0
4921511I17Rik,2
4921511M17Rik,0
4921513H07Rik,0
4921513I03Rik,0
4921515E04Rik,0
4921517D16Rik,16
4921517D22Rik,0
4921518K17Rik,0
4921524J17Rik,746
4921524L21Rik,0
4921525O09Rik,1
4921528I07Rik,0
4921529L05Rik,0
4921530L21Rik,0
4921531C22Rik,56
4921531P14Rik,0
4921533I20Rik,0
4921534H16Rik,0
4921536K21Rik,32
4921539E11Rik,0
4921539H07Rik,0
4922502D21Rik,0
4922502H24Rik,0
4922502N22Rik,0
4930401C15Rik,0
4930401G09Rik,18
4930401O10Rik,0
4930401O12Rik,0
4930402D18Rik,0
4930402F06Rik,0
4930402F11Rik,0
4930402H24Rik,269
4930402K13Rik,0
4930403D09Rik,6
4930404A05Rik,0
4930404H11Rik,0
4930404H24Rik,3
4930404I05Rik,28
4930404I20Rik,0
4930404K13Rik,0
4930404N11Rik,0
4930405A10Rik,0
4930405A21Rik,15
4930405D01Rik,0
4930405D11Rik,0
4930405J17Rik,0
4930405L22Rik,0
4930405O22Rik,6
4930406D18Rik,0
4930407G08Rik,0
4930407I02Rik,0
4930407I10Rik,28
4930407I19Rik,0
4930412B13Rik,0
4930412C18Rik,0
4930412D23Rik,0
4930412E21Rik,0
4930412L05Rik,0
4930412O13Rik,1
4930413E15Rik,0
4930413F20Rik,0
4930413G21Rik,501
4930413M19Rik,0
4930414F18Rik,0
4930414L22Rik,0
4930414N06Rik,2
4930415F15Rik,24
4930415L06Rik,0
4930415O20Rik,0
4930417H01Rik,0
4930417O13Rik,0
4930417O22Rik,0
4930419G24Rik,0
4930421P05Rik,0
4930421P07Rik,0
4930423D24Rik,0
4930423M02Rik,0
4930425K10Rik,0
4930425L21Rik,0
4930425O10Rik,0
4930426D05Rik,296
4930426I24Rik,29
4930426L09Rik,6
4930427A07Rik,356
4930428D18Rik,0
4930428D20Rik,0
4930428E07Rik,0
4930428G15Rik,1
4930428N03Rik,0
4930428O21Rik,0
4930429B21Rik,8
4930429D17Rik,0
4930429F11Rik,0
4930429F24Rik,1
4930429P21Rik,0
4930430A15Rik,0
4930430E12Rik,0
4930430F08Rik,0
4930430F21Rik,0
4930430J02Rik,7
4930431F10Rik,0
4930431F12Rik,0
4930431P03Rik,0
4930431P22Rik,0
4930432E11Rik,2
4930432J09Rik,0
4930432K21Rik,6
4930432L08Rik,0
4930432M17Rik,0
4930432O09Rik,0
4930433B08Rik,0
4930433I11Rik,0
4930433N12Rik,1
4930434B07Rik,2
4930434J06Rik,0
4930435E12Rik,0
4930435F18Rik,0
4930437M23Rik,0
4930438A08Rik,0
4930438E09Rik,0
4930439A04Rik,0
4930440C22Rik,0
4930440I19Rik,0
4930441J16Rik,0
4930442E04Rik,0
4930442J19Rik,0
4930442L01Rik,0
4930443O20Rik,0
4930444A19Rik,1
4930444F02Rik,0
4930444G20Rik,0
4930444M15Rik,0
4930444P10Rik,3
4930445E18Rik,0
4930445N18Rik,25
4930447A16Rik,0
4930447C04Rik,0
4930447F24Rik,1
4930447J18Rik,0
4930447K03Rik,1
4930447M23Rik,0
4930447N08Rik,0
4930448C13Rik,0
4930448F12Rik,0
4930448H16Rik,0
4930448I06Rik,0
4930448I18Rik,0
4930448K20Rik,0
4930449C09Rik,0
4930449E01Rik,0
4930449E18Rik,0
4930449I24Rik,0
4930451E10Rik,2
4930451G09Rik,39
4930451I11Rik,0
4930452A19Rik,0
4930452B06Rik,0
4930452G13Rik,0
4930452N14Rik,0
4930453H23Rik,0
4930453L07Rik,0
4930453N24Rik,2562
4930453O03Rik,0
4930455B14Rik,0
4930455C13Rik,8
4930455D15Rik,0
4930455F16Rik,0
4930455G09Rik,18
4930455H04Rik,0
4930455J16Rik,0
4930456L15Rik,0
4930458A03Rik,0
4930459C07Rik,0
4930459I23Rik,0
4930459L07Rik,0
4930461C15Rik,0
4930461G14Rik,0
4930463O16Rik,2
4930465K10Rik,0
4930465M20Rik,0
4930467D21Rik,0
4930467E23Rik,0
4930467J12Rik,0
4930467K11Rik,0
4930468A15Rik,0
4930469G21Rik,0
4930469K13Rik,12
4930470H14Rik,2
4930470O06Rik,0
4930470P17Rik,0
4930471C04Rik,0
4930471G03Rik,0
4930471G24Rik,0
4930471L23Rik,0
4930471M09Rik,0
4930473A02Rik,20
4930473H19Rik,9
4930473O22Rik,0
4930474G06Rik,0
4930474H20Rik,0
4930474M22Rik,0
4930474N05Rik,0
4930474N09Rik,5
4930477N07Rik,1
4930478L05Rik,8
4930478P22Rik,0
4930479D17Rik,2
4930479H17Rik,0
4930480E11Rik,0
4930480G23Rik,0
4930480K15Rik,0
4930480K23Rik,205
4930480M12Rik,0
4930481A15Rik,41
4930482G09Rik,0
4930483J18Rik,2
4930483K19Rik,35
4930483O08Rik,0
4930484H19Rik,0
4930486F22Rik,0
4930486I03Rik,0
4930486L24Rik,0
4930487D11Rik,0
4930487H11Rik,19
4930488B22Rik,0
4930488L21Rik,0
4930488N24Rik,0
4930500A05Rik,0
4930500F04Rik,0
4930500G05Rik,1
4930500H12Rik,0
4930500J02Rik,34
4930500L23Rik,0
4930502A04Rik,0
4930502C15Rik,9
4930502E09Rik,5
4930502E18Rik,0
4930502M04Rik,0
4930503B20Rik,0
4930503E14Rik,4
4930503E24Rik,0
4930503F20Rik,0
4930503H13Rik,0
4930503L19Rik,1925
4930503O07Rik,0
4930504C09Rik,0
4930504O13Rik,0
4930505A04Rik,0
4930505G20Rik,0
4930505K13Rik,0
4930505K14Rik,1
4930505N22Rik,0
4930505O20Rik,0
4930506A18Rik,0
4930506C21Rik,44
4930506M07Rik,3451
4930507D05Rik,7
4930507D10Rik,0
4930509E16Rik,514
4930509J09Rik,0
4930509K18Rik,0
4930511A02Rik,0
4930511A08Rik,0
4930511E03Rik,0
4930511M06Rik,0
4930512B01Rik,4
4930512H18Rik,0
4930512J16Rik,31
4930513D17Rik,0
4930513L16Rik,7
4930513N10Rik,203
4930513O06Rik,0
4930515B02Rik,0
4930515G01Rik,33
4930515G16Rik,0
4930515L03Rik,0
4930515L19Rik,0
4930517E11Rik,0
4930517G24Rik,0
4930517M08Rik,0
4930517O19Rik,32
4930518F22Rik,2
4930518J21Rik,1
4930518P08Rik,0
4930519D14Rik,0
4930519F09Rik,0
4930519F16Rik,0
4930519F24Rik,0
4930519G04Rik,0
4930519H02Rik,0
4930520O04Rik,35
4930520P13Rik,0
4930521E06Rik,0
4930521O11Rik,0
4930521O17Rik,0
4930522H14Rik,0
4930522L14Rik,360
4930522O17Rik,0
4930522P08Rik,33
4930523C07Rik,89
4930523O13Rik,0
4930524B15Rik,5
